Date Time Date2 Time2 CSEId name id lat long elev press temp dew rhum shum speed dir u v rain snow sflux lflux isr osr ilr olr rad skin co2 inpar outpar
2001/07/01 00:00 2001/07/01 00:00 CAMP       46759           Hengchun          22.00000   120.74000   22.10 1006.80   28.90   25.40   81.00   20.29    4.70   90.00   -4.70    0.00    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46762           Lanyu             22.04000   121.55000  324.00  974.10   27.10   25.50   91.00   21.10    7.60   90.00   -7.60    0.00    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46754           Tawu              22.36000   120.90000    8.10 1009.80   27.90   25.40   86.00   20.23    0.90   30.00   -0.45   -0.78    0.60 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46744           Kaohsiung         22.57000   120.31000    2.30 1007.50   31.20   24.00   66.00   18.63    4.60  160.00   -1.57    4.32    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46766           Taitung           22.75000   121.15000    9.00 1009.90   30.80   21.80   59.00   16.24    0.50  320.00    0.32   -0.38    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46741           Tainan            23.00000   120.20000   13.80 1006.50   30.50   26.20   78.00   21.29    0.10    0.00    0.00   -0.10    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46761           Chengkung         23.10000   121.37000   33.50 1006.10   30.60   24.30   69.00   19.00    1.30  200.00    0.44    1.22    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46730           Tungchitao        23.26000   119.66000   45.00 1003.20   30.10   23.90   69.00   18.60    3.20   80.00   -3.15   -0.56    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46755           Yushan            23.49000   120.95000 3845.00  644.80    8.60   -2.70   45.00    4.84   14.00  130.00  -10.72    9.00    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46748           Chiayi            23.50000   120.42000   26.90 1004.50   29.30   24.40   75.00   19.14    0.70   40.00   -0.45   -0.54    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46753           Alishan           23.51000   120.80000 2413.00  764.30   18.40    9.50   56.00    9.72    0.90   10.00   -0.16   -0.89    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46735           Penghu            23.57000   119.56000   10.70 1007.00   31.20   26.40   76.00   21.54    1.30  100.00   -1.28    0.23    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46765           Jiyuehtan         23.88000   120.90000 1015.00  899.60   24.70   20.00   75.00   16.33    0.10    0.00    0.00   -0.10    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46699           Hualien           23.98000   121.60000   16.10 1007.90   29.70   22.40   65.00   16.89    5.80  230.00    4.44    3.73    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46749           Taichung          24.15000   120.68000   84.00  998.40   29.30   24.50   75.00   19.38    0.50  190.00    0.09    0.49    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
