    h   V  C    x      y      Y
  10RP  1  2 0.3629 0.2710  1.210
  10RP  1  4 0.3920 0.2423  1.210
  10RP  1  6 0.4151 0.2169  1.210
  10RP  1  8 0.4357 0.1921  1.210
  10RP  1 10 0.4521 0.1710  1.210
  10RP  1 12 0.4668 0.1514  1.210
  2.5R  1  2 0.3768 0.2816  1.210
  2.5R  1  4 0.4166 0.2569  1.210
  2.5R  1  6 0.4515 0.2329  1.210
  2.5R  1  8 0.4812 0.2103  1.210
  2.5R  1 10 0.5058 0.1900  1.210
    5R  1  2 0.3908 0.2929  1.210
    5R  1  4 0.4420 0.2728  1.210
    5R  1  6 0.4885 0.2515  1.210
    5R  1  8 0.5282 0.2297  1.210
    5R  1 10 0.5604 0.2100  1.210
  7.5R  1  2 0.4020 0.3034  1.210
  7.5R  1  4 0.4660 0.2888  1.210
  7.5R  1  6 0.5235 0.2698  1.210
  7.5R  1  8 0.5722 0.2487  1.210
  7.5R  1 10 0.6111 0.2290  1.210
   10R  1  2 0.4128 0.3154  1.210
   10R  1  4 0.4933 0.3068  1.210
   10R  1  6 0.5584 0.2921  1.210
   10R  1  8 0.6178 0.2713  1.210
   10R  1 10 0.6661 0.2499  1.210
 2.5YR  1  2 0.4258 0.3344  1.210
 2.5YR  1  4 0.5311 0.3371  1.210
 2.5YR  1  6 0.6048 0.3270  1.210
 2.5YR  1  8 0.6721 0.3058  1.210
   5YR  1  2 0.4377 0.3580  1.210
   5YR  1  4 0.5660 0.3795  1.210
 7.5YR  1  2 0.4430 0.3775  1.210
  10YR  1  2 0.4446 0.3982  1.210
  2.5Y  1  2 0.4362 0.4177  1.210
    5Y  1  2 0.4230 0.4265  1.210
  7.5Y  1  2 0.4042 0.4287  1.210
   10Y  1  2 0.3802 0.4212  1.210
 2.5GY  1  2 0.3540 0.4088  1.210
   5GY  1  2 0.3359 0.3982  1.210
   5GY  1  4 0.3765 0.5942  1.210
 7.5GY  1  2 0.3154 0.3840  1.210
 7.5GY  1  4 0.3133 0.5380  1.210
  10GY  1  2 0.3006 0.3720  1.210
  10GY  1  4 0.2722 0.4903  1.210
  10GY  1  6 0.2232 0.6392  1.210
  2.5G  1  2 0.2910 0.3634  1.210
  2.5G  1  4 0.2454 0.4489  1.210
  2.5G  1  6 0.1711 0.5619  1.210
  2.5G  1  8 0.0620 0.6896  1.210
    5G  1  2 0.2833 0.3564  1.210
    5G  1  4 0.2290 0.4218  1.210
    5G  1  6 0.1468 0.4996  1.210
  7.5G  1  2 0.2758 0.3484  1.210
  7.5G  1  4 0.2159 0.3967  1.210
  7.5G  1  6 0.1344 0.4505  1.210
   10G  1  2 0.2689 0.3407  1.210
   10G  1  4 0.2040 0.3724  1.210
   10G  1  6 0.1249 0.4019  1.210
 2.5BG  1  2 0.2600 0.3289  1.210
 2.5BG  1  4 0.1883 0.3406  1.210
 2.5BG  1  6 0.1169 0.3452  1.210
 2.5BG  1  8 0.0476 0.3458  1.210
   5BG  1  2 0.2500 0.3141  1.210
   5BG  1  4 0.1753 0.3021  1.210
   5BG  1  6 0.1093 0.2860  1.210
