Name,Country,City,URL,Host,Maintainer,OK,CountryCode,Comment
0-Bioconductor (World-wide) [https],0-Bioconductor,World-wide,https://bioconductor.org/,"Bioconductor, automatic redirection to servers worldwide",Bioconductor Maintainer <maintainer # bioconductor.org>,1,us,secure_mirror_from_master
0-Bioconductor (World-wide),0-Bioconductor,World-wide,http://bioconductor.org/,"Bioconductor, automatic redirection to servers worldwide",Bioconductor Maintainer <maintainer # bioconductor.org>,1,us,secure_mirror_from_master
Brazil/Latin America (Ribeirão Preto) [https],Brazil/Latin America,Ribeirão Preto,https://bioconductor.fmrp.usp.br/,"Department of Genetics, Medical School of Ribeirão Preto, University of São Paulo",Houtan Noushmehr <houtan # usp.br>,1,br,secure_mirror_from_master
Brazil/Latin America (Ribeirão Preto),Brazil/Latin America,Ribeirão Preto,http://bioconductor.fmrp.usp.br/,"Department of Genetics, Medical School of Ribeirão Preto, University of São Paulo",Houtan Noushmehr <houtan # usp.br>,0,br,secure_mirror_from_master
Germany (Dortmund) [https],Germany,Dortmund,https://bioconductor.statistik.tu-dortmund.de/,"Department of Statistics, TU Dortmund",Uwe Ligges <ligges # statistik.tu-dortmund.de>,1,de,
Germany (Dortmund),Germany,Dortmund,http://bioconductor.statistik.tu-dortmund.de/,"Department of Statistics, TU Dortmund",Uwe Ligges <ligges # statistik.tu-dortmund.de>,1,de,
United Kingdom (Hinxton) [https],United Kingdom,Hinxton,https://mirrors.ebi.ac.uk/bioconductor/,European Bioinformatics Institute,Andrew Tikhonov <andrew # ebi.ac.uk>,1,uk,secure_mirror_from_master
United Kingdom (Hinxton),United Kingdom,Hinxton,http://mirrors.ebi.ac.uk/bioconductor/,European Bioinformatics Institute,Andrew Tikhonov <andrew # ebi.ac.uk>,1,uk,secure_mirror_from_master
Japan (Tachikawa) [https],Japan,Tachikawa,https://bioc.ism.ac.jp/,The Institute of Statistical Mathematics,Keisuke Honda <khonda # ism.ac.jp>,1,jp,secure_mirror_from_master
Japan (Tachikawa),Japan,Tachikawa,http://bioc.ism.ac.jp/,The Institute of Statistical Mathematics,Keisuke Honda <khonda # ism.ac.jp>,1,jp,secure_mirror_from_master
Japan (Wako) [https],Japan,Wako,https://bioconductor.riken.jp/,RIKEN Advanced Center for Computing and Communication,"Itoshi NIKAIDO, Ph.D. <dritoshi # gmail.com>",1,jp,secure_mirror_from_master
Japan (Wako),Japan,Wako,http://bioconductor.riken.jp/,RIKEN Advanced Center for Computing and Communication,"Itoshi NIKAIDO, Ph.D. <dritoshi # gmail.com>",1,jp,secure_mirror_from_master
China (Anhui) [https],China,Anhui,https://mirrors.ustc.edu.cn/bioc/,University of Science and Technology of China,Mirror Maintainer <mirrors # ustc.edu.cn>,1,cn,secure_mirror_from_master
China (Anhui),China,Anhui,http://mirrors.ustc.edu.cn/bioc/,University of Science and Technology of China,Mirror Maintainer <mirrors # ustc.edu.cn>,1,cn,secure_mirror_from_master
Australia (Sydney) [https],Australia,Sydney,https://mirror.aarnet.edu.au/pub/bioconductor/,Australia's Academic and Research Network,Alex Dodson <alex.dodson # aarnet.edu.au>,1,au,secure_mirror_from_master
Australia (Sydney),Australia,Sydney,http://mirror.aarnet.edu.au/pub/bioconductor/,Australia's Academic and Research Network,Alex Dodson <alex.dodson # aarnet.edu.au>,1,au,secure_mirror_from_master
