CODE,NAME,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE
ADI-M,"ADINDAN, Mean",CD,-166,5,-15,5,204,3,-5,31,15,55
ADI-A,"ADINDAN, Ethiopia",CD,-165,3,-11,3,206,3,-3,25,26,50
ADI-B,"ADINDAN, Sudan",CD,-161,3,-14,5,205,3,-3,31,15,45
ADI-C,"ADINDAN, Mali",CD,-123,25,-20,25,220,25,3,31,-20,11
ADI-D,"ADINDAN, Senegal",CD,-128,25,-18,25,224,25,5,23,-24,-5
ADI-E,"ADINDAN, Burkina Faso",CD,-118,25,-14,25,218,25,4,22,-12,8
ADI-F,"ADINDAN, Cameroon",CD,-134,25,-2,25,210,25,-4,19,3,23
AFG,"AFGOOYE, Somalia",KA,-43,25,-163,25,45,25,-8,19,35,60
AIA,"ANTIGUA ISLAND ASTRO 1943",CD,-270,25,13,25,62,25,16,20,-65,-61
AIN-A,"AIN EL ABD 1970, Bahrain",IN,-150,25,-250,25,-1,25,24,28,49,53
AIN-B,"AIN EL ABD 1970, Saudi Arabia",IN,-143,10,-236,10,7,10,8,38,28,62
AMA,"AMERICAN SAMOA 1962",CC,-115,25,118,25,426,25,-19,-9,-174,-165
ANO,"ANNA 1 ASTRO 1965, Cocos Is.",AN,-491,25,-22,25,435,25,-14,-10,94,99
ARF-M,"ARC 1950, Mean",CD,-143,20,-90,33,-294,20,-36,10,4,42
ARF-A,"ARC 1950, Botswana",CD,-138,3,-105,5,-289,3,-33,-13,13,36
ARF-B,"ARC 1950, Lesotho",CD,-125,3,-108,3,-295,8,-36,-23,21,35
ARF-C,"ARC 1950, Malawi",CD,-161,9,-73,24,-317,8,-21,-3,26,42
ARF-D,"ARC 1950, Swaziland",CD,-134,15,-105,15,-295,15,-33,-20,25,40
ARF-E,"ARC 1950, Zaire",CD,-169,25,-19,25,-278,25,-21,10,4,38
ARF-F,"ARC 1950, Zambia",CD,-147,21,-74,21,-283,27,-24,-1,15,40
ARF-G,"ARC 1950, Zimbabwe",CD,-142,5,-96,8,-293,11,-29,-9,19,39
ARF-H,"ARC 1950, Burundi",CD,-153,20,-5,20,-292,20,-11,4,21,37
ARS-M,"ARC 1960, Kenya & Tanzania",CD,-160,20,-6,20,-302,20,-18,8,23,47
ARS-A,"ARC 1960, Kenya",CD,-157,4,-2,3,-299,3,-11,8,28,47
ARS-B,"ARC 1960, Tanzania",CD,-175,6,-23,9,-303,10,-18,5,23,47
ASC,"ASCENSION ISLAND 1958",IN,-205,25,107,25,53,25,-9,-6,-16,-13
ASM,"MONTSERRAT ISLAND ASTRO 1958",CD,174,25,359,25,365,25,15,18,-64,-61
ASQ,"ASTRO STATION 1952, Marcus Is.",IN,124,25,-234,25,-25,25,22,26,152,156
ATF,"ASTRO BEACON E 1945, Iwo Jima",IN,145,25,75,25,-272,25,22,26,140,144
AUA,"AUSTRALIAN GEODETIC 1966",AN,-133,3,-48,3,148,3,-46,-4,109,161
