"Code","Attribute","Acronym","Attributetype","Class"
1,Agency responsible for production,AGENCY,A,F
2,Beacon shape,BCNSHP,E,F
3,Building shape,BUISHP,E,F
4,Buoy shape,BOYSHP,E,F
5,Buried depth,BURDEP,F,F
6,Call sign,CALSGN,S,F
7,Category of airport/airfield,CATAIR,L,F
8,Category of anchorage,CATACH,L,F
9,Category of bridge,CATBRG,L,F
10,Category of built-up area,CATBUA,E,F
11,Category of cable,CATCBL,E,F
12,Category of canal,CATCAN,E,F
13,Category of cardinal mark,CATCAM,E,F
14,Category of checkpoint,CATCHP,E,F
15,Category of coastline,CATCOA,E,F
16,Category of control point,CATCTR,E,F
17,Category of conveyor,CATCON,E,F
18,Category of coverage,CATCOV,E,F
19,Category of crane,CATCRN,E,F
20,Category of dam,CATDAM,E,F
21,Category of distance mark,CATDIS,E,F
22,Category of dock,CATDOC,E,F
23,Category of dumping ground,CATDPG,L,F
24,Category of fence/wall,CATFNC,E,F
25,Category of ferry,CATFRY,E,F
26,Category of fishing  facility,CATFIF,E,F
27,Category of fog signal,CATFOG,E,F
28,Category of fortified structure,CATFOR,E,F
29,Category of gate,CATGAT,E,F
30,Category of harbour facility,CATHAF,L,F
31,Category of hulk,CATHLK,L,F
32,Category of ice,CATICE,E,F
33,Category of installation buoy,CATINB,E,F
34,Category of land region,CATLND,L,F
35,Category of landmark,CATLMK,L,F
36,Category of lateral mark,CATLAM,E,F
37,Category of light,CATLIT,L,F
38,Category of marine farm/culture,CATMFA,E,F
39,Category of military practice area,CATMPA,L,F
40,Category of mooring/warping facility,CATMOR,E,F
41,Category of navigation line,CATNAV,E,F
42,Category of obstruction,CATOBS,E,F
43,Category of offshore platform,CATOFP,L,F
44,Category of oil barrier,CATOLB,E,F
45,Category of pile,CATPLE,E,F
46,Category of pilot boarding place,CATPIL,E,F
47,Category of pipeline / pipe,CATPIP,L,F
48,Category of production area,CATPRA,E,F
49,Category of pylon,CATPYL,E,F
50,Category of quality of data,CATQUA,E,F
51,Category of radar station,CATRAS,E,F
52,Category of radar transponder beacon,CATRTB,E,F
53,Category of radio station,CATROS,L,F
54,Category of recommended track,CATTRK,E,F
55,Category of rescue station,CATRSC,L,F
56,Category of restricted area,CATREA,L,F
57,Category of road,CATROD,E,F
58,Category of runway,CATRUN,E,F
59,Category of sea area,CATSEA,E,F
60,Category of shoreline construction,CATSLC,E,F
61,"Category of signal station, traffic",CATSIT,L,F
62,"Category of signal station, warning",CATSIW,L,F
63,Category of silo/tank,CATSIL,E,F
64,Category of slope,CATSLO,E,F
65,Category of small craft facility,CATSCF,L,F
66,Category of special purpose mark,CATSPM,L,F
67,Category of Traffic Separation Scheme,CATTSS,E,F
68,Category of vegetation,CATVEG,L,F
69,Category of water turbulence,CATWAT,E,F
70,Category of weed/kelp,CATWED,E,F
71,Category of wreck,CATWRK,E,F
72,Category of zone of confidence data,CATZOC,E,F
73,Character spacing,$SPACE,E,$
74,Character specification,$CHARS,A,$
75,Colour,COLOUR,L,F
76,Colour pattern,COLPAT,L,F
77,Communication channel,COMCHA,A,F
78,Compass size,$CSIZE,F,$
79,Compilation date,CPDATE,A,F
80,Compilation scale,CSCALE,I,F
81,Condition,CONDTN,E,F
82,"Conspicuous, Radar",CONRAD,E,F
83,"Conspicuous, visual",CONVIS,E,F
84,Current velocity,CURVEL,F,F
85,Date end,DATEND,A,F
86,Date start,DATSTA,A,F
87,Depth range value 1,DRVAL1,F,F
88,Depth range value 2,DRVAL2,F,F
89,Depth units,DUNITS,E,F
90,Elevation,ELEVAT,F,F
91,Estimated range of transmission,ESTRNG,F,F
92,Exhibition condition of light,EXCLIT,E,F
93,Exposition of sounding,EXPSOU,E,F
94,Function,FUNCTN,L,F
95,Height,HEIGHT,F,F
96,Height/length units,HUNITS,E,F
97,Horizontal accuracy,HORACC,F,F
98,Horizontal clearance,HORCLR,F,F
99,Horizontal length,HORLEN,F,F
100,Horizontal width,HORWID,F,F
101,Ice factor,ICEFAC,F,F
102,Information,INFORM,S,F
103,Jurisdiction,JRSDTN,E,F
104,Justification - horizontal,$JUSTH,E,$
105,Justification - vertical,$JUSTV,E,$
106,Lifting capacity,LIFCAP,F,F
107,Light characteristic,LITCHR,E,F
108,Light visibility,LITVIS,L,F
109,Marks navigational - System of,MARSYS,E,F
110,Multiplicity of lights,MLTYLT,I,F
111,Nationality,NATION,A,F
112,Nature of construction,NATCON,L,F
113,Nature of surface,NATSUR,L,F
114,Nature of surface - qualifying terms,NATQUA,L,F
115,Notice to Mariners date,NMDATE,A,F
116,Object name,OBJNAM,S,F
117,Orientation,ORIENT,F,F
118,Periodic date end,PEREND,A,F
119,Periodic date start,PERSTA,A,F
120,Pictorial representation,PICREP,S,F
121,Pilot district,PILDST,S,F
122,Producing country,PRCTRY,A,F
123,Product,PRODCT,L,F
124,Publication reference,PUBREF,S,F
125,Quality of sounding measurement,QUASOU,L,F
126,Radar wave length,RADWAL,A,F
127,Radius,RADIUS,F,F
128,Recording date,RECDAT,A,F
129,Recording indication,RECIND,A,F
130,Reference year for magnetic variation,RYRMGV,A,F
131,Restriction,RESTRN,L,F
132,Scale maximum,SCAMAX,I,F
133,Scale minimum,SCAMIN,I,F
134,Scale value one,SCVAL1,I,F
135,Scale value two,SCVAL2,I,F
136,Sector limit one,SECTR1,F,F
137,Sector limit two,SECTR2,F,F
138,Shift parameters,SHIPAM,A,F
139,Signal frequency,SIGFRQ,I,F
140,Signal generation,SIGGEN,E,F
141,Signal group,SIGGRP,A,F
142,Signal period,SIGPER,F,F
143,Signal sequence,SIGSEQ,A,F
144,Sounding accuracy,SOUACC,F,F
145,Sounding distance - maximum,SDISMX,I,F
146,Sounding distance - minimum,SDISMN,I,F
147,Source date,SORDAT,A,F
148,Source indication,SORIND,A,F
149,Status,STATUS,L,F
150,Survey authority,SURATH,S,F
151,Survey date - end,SUREND,A,F
152,Survey date - start,SURSTA,A,F
153,Survey type,SURTYP,L,F
154,Symbol scaling factor,$SCALE,F,$
155,Symbolization code,$SCODE,A,$
156,Technique of sounding measurement,TECSOU,L,F
157,Text string,$TXSTR,S,$
158,Textual description,TXTDSC,S,F
159,Tidal stream - panel values,TS_TSP,A,F
160,"Tidal stream, current - time series values",TS_TSV,A,F
161,Tide - accuracy of water level,T_ACWL,E,F
162,Tide - high and low water values,T_HWLW,A,F
163,Tide - method of tidal prediction,T_MTOD,E,F
164,Tide - time and height differences,T_THDF,A,F
