"ID","STATE","ZONE","PROJ_METHOD","DATUM","USGS_CODE","EPSG_PCS_CODE"
101,ALABAMA,EAST,1,NAD83,101,26929
102,ALABAMA,WEST,1,NAD83,102,26930
201,ARIZONA,EAST,1,NAD83,201,26948
202,ARIZONA,CENTRAL,1,NAD83,202,26949
203,ARIZONA,WEST,1,NAD83,203,26950
301,ARKANSAS,NORTH,2,NAD83,301,26951
302,ARKANSAS,SOUTH,2,NAD83,302,26952
401,CALIFORNIA,I,2,NAD83,401,26941
402,CALIFORNIA,II,2,NAD83,402,26942
403,CALIFORNIA,III,2,NAD83,403,26943
404,CALIFORNIA,IV,2,NAD83,404,26944
405,CALIFORNIA,V,2,NAD83,405,26945
406,CALIFORNIA,VI,2,NAD83,406,26946
501,COLORADO,NORTH,2,NAD83,501,26953
502,COLORADO,CENTRAL,2,NAD83,502,26954
503,COLORADO,SOUTH,2,NAD83,503,26955
600,CONNECTICUT,,2,NAD83,600,26956
700,DELAWARE,,1,NAD83,700,26957
901,FLORIDA,EAST,1,NAD83,901,26958
902,FLORIDA,WEST,1,NAD83,902,26959
903,FLORIDA,NORTH,2,NAD83,903,26960
1001,GEORGIA,EAST,1,NAD83,1001,26966
1002,GEORGIA,WEST,1,NAD83,1002,26967
1101,IDAHO,EAST,1,NAD83,1101,26968
1102,IDAHO,CENTRAL,1,NAD83,1102,26969
1103,IDAHO,WEST,1,NAD83,1103,26970
1201,ILLINOIS,EAST,1,NAD83,1201,26971
1202,ILLINOIS,WEST,1,NAD83,1202,26972
1301,INDIANA,EAST,1,NAD83,1301,26973
1302,INDIANA,WEST,1,NAD83,1302,26974
1401,IOWA,NORTH,2,NAD83,1401,26975
1402,IOWA,SOUTH,2,NAD83,1402,26976
1501,KANSAS,NORTH,2,NAD83,1501,26977
1502,KANSAS,SOUTH,2,NAD83,1502,26978
1600,KENTUCKY,SINGLE ZONE,2,NAD83,1600,3088 
1601,KENTUCKY,NORTH,2,NAD83,1601,2205
1602,KENTUCKY,SOUTH,2,NAD83,1602,26980
1701,LOUISIANA,NORTH,2,NAD83,1701,26981
1702,LOUISIANA,SOUTH,2,NAD83,1702,26982
1703,LOUISIANA,OFFSHORE,2,NAD83,1703,
1801,MAINE,EAST,1,NAD83,1801,26983
1802,MAINE,WEST,1,NAD83,1802,26984
1900,MARYLAND,,2,NAD83,1900,26985
2001,MASSACHUSETTS,MAINLAND,2,NAD83,2001,26986
2002,MASSACHUSETTS,ISLAND,2,NAD83,2002,26987
2111,MICHIGAN,NORTH,2,NAD83,2111,26988
2112,MICHIGAN,CENTRAL,2,NAD83,2112,26989
2113,MICHIGAN,SOUTH,2,NAD83,2113,26990
2201,MINNESOTA,NORTH,2,NAD83,2201,26991
