"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","UOM_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_METHOD_CODE_1","PARM_1_1"
#
# NOTICE: The master version of this file is in the libgeotiff subversion at:
#
# https://svn.osgeo.org/metacrs/geotiff/trunk/libgeotiff/csv/vertcs.override.csv
#
# Do *not* change other copies without upstreaming the results to libgeotiff.
#
# Use the Geoid 2003 files to translated from NAVD88 to WGS84 (approx. NAD83)
#
#
# Updated to default to Geoid12A (11/27/12) hobu
# http://lists.osgeo.org/pipermail/metacrs/2012-November/000649.html
5703,NAVD88 height,5103,North American Vertical Datum 1988,9001,1,0,6499,9665,"g2012a_conus.gtx,g2012a_alaska.gtx,g2012a_guam.gtx,g2012a_hawaii.gtx,g2012a_puertorico.gtx,g2012a_samoa.gtx"
#
#
# Use the EGM 96 geoid grid for translation from EGM96 to WGS84.
#
5773,EGM96 geoid height,5171,EGM96 geoid,9001,1,0,6499,9665,egm96_15.gtx
#
# Use the EGM 2008 geoid grid for translation from EGM08 to WGS84.
#
3855,EGM2008 geoid height,1027,EGM2008 geoid,9001,1,0,6499,9665,egm08_25.gtx
