86
N.Z. TREES
0 153 0 95 1.1
1 20
1 42
1 72
2 67
3 22
5 16
6 32
14 3
14 54
17 3
17 33
19 35
20 9
26 37
28 53
29 29
30 43
32 88
33 85
33 15
39 59
41 71
42 6
43 3
43 0
46 86
50 63
50 65
53 63
52 9
55 21
56 10
56 48
61 53
61 56
65 85
66 58
70 22
75 51
75 81
79 10
83 55
90 44
90 46
91 52
91 71
92 88
94 12
96 43
104 15
104 18
106 47
108 52
109 84
110 14
112 38
113 86
116 43
117 48
116 71
117 69
118 55
120 47
123 49
122 20
124 64
125 88
127 28
129 21
129 38
126 7
137 92
141 52
143 70
143 81
143 89
147 87
148 91
150 7
150 14
150 23
150 33
150 44
150 62
150 78
150 92

