"Code","ID","Meaning"
2,1,"stake, pole, perch, post"
2,2,whity
2,3,beacon tower
2,4,lattice beacon
2,5,pile beacon
2,6,cairn
2,7,buoyant beacon
3,5,high-rise building
3,6,pyramid
3,7,cylindrical
3,8,spherical
3,9,cubic
4,1,"conical (nun, ogival)"
4,2,can (cylindrical)
4,3,spherical
4,4,pillar
4,5,spar (spindle)
4,6,barrel (tun)
4,7,super-buoy
4,8,ice buoy
7,1,military aeroplane airport
7,2,civil aeroplane airport
7,3,military heliport
7,4,civil heliport
7,5,glider airfield
7,6,small planes airfield
7,8,emergency airfield
8,1,unrestricted anchorage
8,2,deep water anchorage
8,3,tanker anchorage
8,4,explosives anchorage
8,5,quarantine anchorage
8,6,sea-plane anchorage
8,7,small craft anchorage
8,8,small craft mooring area
8,9,anchorage for periods up to 24 hours
9,1,fixed bridge
9,2,opening bridge
9,3,swing bridge
9,4,lifting bridge
9,5,bascule bridge
9,6,pontoon bridge
9,7,draw bridge
9,8,transporter bridge
9,9,footbridge
9,10,viaduct
9,11,aqueduct
9,12,suspension bridge
10,1,urban area
10,2,settlement
10,3,village
10,4,town
10,5,city
10,6,holiday village
11,1,power line
11,3,transmission line
11,4,telephone
11,5,telegraph
11,6,mooring cable/chain
12,1,transportation
12,2,drainage
12,3,irrigation
13,1,north cardinal mark
13,2,east cardinal mark
13,3,south cardinal mark
13,4,west cardinal mark
14,1,custom
15,1,steep coast
15,2,flat coast
15,3,sandy shore
15,4,stony shore
15,5,shingly shore
15,6,glacier (seaward end)
15,7,mangrove
15,8,marshy shore
15,9,coral reef
15,10,ice coast
16,1,triangulation point
16,2,observation spot
16,3,fixed point
16,4,bench-mark
16,5,boundary mark
16,6,"horizontal control, main station"
16,7,"horizontal control, secondary station"
17,1,aerial cableway (telepheric)
17,2,belt conveyor
18,1,coverage available
18,2,no coverage available
19,2,container crane/gantry
19,3,sheerlegs
19,4,travelling crane
19,5,A-frame
20,1,weir
20,2,dam
20,3,flood barrage
21,1,distance mark not physically installed
21,2,"visible mark, pole"
21,3,"visible mark, board"
21,4,"visible mark, unknown shape"
22,1,tidal
22,2,non-tidal (wet dock)
23,2,chemical waste dumping ground
23,3,nuclear waste dumping ground
23,4,explosives dumping ground
23,5,spoil ground
23,6,vessel dumping ground
24,1,fence
24,3,hedge
24,4,wall
25,1,'free-moving' ferry
25,2,cable ferry
25,3,ice ferry
26,1,fishing stake
26,2,fish trap
26,3,fish weir
26,4,tunny net
27,1,explosive
27,2,diaphone
27,3,siren
27,4,nautophone
27,5,reed
27,6,tyfon
27,7,bell
27,8,whistle
27,9,gong
27,10,horn
28,1,castle
28,2,fort
28,3,battery
28,4,blockhouse
28,5,Martello tower
29,2,flood barrage gate
29,3,caisson
29,4,lock gate
29,5,dyke gate
30,1,RoRo-terminal
30,3,ferry terminal
30,4,fishing harbour
30,5,yacht harbour/marina
30,6,naval base
30,7,tanker terminal
30,8,passenger terminal
30,9,shipyard
30,10,container terminal
30,11,bulk terminal
31,1,floating restaurant
31,2,historic ship
31,3,museum
31,4,accomodation
31,5,floating breakwater
32,1,fast ice
32,5,glacier
32,8,polar ice
33,1,catenary anchor leg mooring (CALM)
33,2,single buoy mooring (SBM or SPM)
34,1,fen
34,2,marsh
34,3,moor/bog
34,4,heathland
34,5,mountain range
34,6,lowlands
34,7,canyon lands
34,8,paddy field
34,9,agricultural land
34,10,savanna/grassland
34,11,parkland
34,12,swamp
34,13,landslide
34,14,lava flow
34,15,salt pan
34,16,moraine
34,17,crater
34,18,cave
34,19,rock column or pinnacle
35,1,cairn
35,2,cemetery
35,3,chimney
35,4,dish aerial
35,5,flagstaff (flagpole)
35,6,flare stack
35,7,mast
35,8,windsock
35,9,monument
35,10,column (pillar)
35,11,memorial plaque
35,12,obelisk
35,13,statue
35,14,cross
35,15,dome
35,16,radar scanner
35,17,tower
35,18,windmill
35,19,windmotor
35,20,spire/minaret
36,1,port-hand lateral mark
36,2,starboard-hand lateral mark
36,3,preferred channel to starboard lateral mark
36,4,preferred channel to port lateral mark
37,1,directional function
37,4,leading light
37,5,aero light
37,6,air obstruction light
37,7,fog detector light
37,8,flood light
37,9,strip light
37,10,subsidiary light
37,11,spotlight
37,12,front
37,13,rear
37,14,lower
37,15,upper
37,16,moiré effect
37,17,emergency
37,18,bearing light
37,19,horizontally disposed
37,20,vertically disposed
38,1,crustaceans
38,2,oyster/mussels
38,3,fish
38,4,seaweed
39,2,torpedo exercise area
39,3,submarine exercise area
39,4,firing danger area
39,5,mine-laying practice area
39,6,small arms firing range
40,1,dolphin
40,2,deviation dolphin
40,3,bollard
40,4,tie-up wall
40,5,post or pile
40,6,chain/wire/cable
40,7,mooring buoy
41,1,clearing line
41,2,transit line
41,3,leading line bearing a recommended track
42,1,snag / stump
42,2,wellhead
42,3,diffuser
42,4,crib
42,5,fish haven
42,6,foul area
42,7,foul ground
42,8,ice boom
42,9,ground tackle
43,1,oil derrick / rig
43,2,production platform
43,3,observation / research platform
43,4,articulated loading platform (ALP)
43,5,single anchor leg mooring (SALM)
43,6,mooring tower
43,7,artificial island
43,8,"floating production, storage and off-loading vessel (FPSO)"
43,9,accomodation platform
43,10,"navigation, communication and control buoy (NCCB)"
44,1,oil retention (high pressure pipe)
44,2,floating oil barrier
45,1,stake
45,3,post
45,4,tripodal
46,1,boarding by pilot-cruising vessel
46,2,boarding by helicopter
46,3,pilot comes out from shore
47,2,outfall pipe
47,3,intake pipe
47,4,sewer
47,5,bubbler system
47,6,supply pipe
48,1,quarry
48,2,mine
48,3,stockpile
48,4,power station area
48,5,refinery area
48,6,timber yard
48,7,factory area
48,8,tank farm
48,9,wind farm
49,1,power transmission pylon/pole
49,2,telephone/telegraph pylon/pole
49,3,aerial cableway/sky pylon
49,4,bridge pylon/tower
49,5,bridge pier
50,1,data quality A
50,2,data quality B
50,3,data quality C
50,4,data quality D
50,5,data quality E
50,6,quality not evaluated
51,1,radar surveillance station
51,2,coast radar station
52,1,"ramark, radar beacon transmitting continuously"
52,2,"racon, radar transponder beacon"
52,3,leading racon/radar transponder beacon
53,1,circular (non-directional) marine or aero-marine radiobeacon
53,2,directional radiobeacon
53,3,rotating-pattern radiobeacon
53,4,Consol beacon
53,5,radio direction-finding station
53,6,coast radio station providing QTG service
53,7,aeronautical radiobeacon
53,8,Decca
53,9,Loran C
53,10,Differential GPS
53,11,Toran
53,12,Omega
53,13,Syledis
53,14,Chaika (Chayka)
54,1,based on a system of fixed marks
54,2,not based on a system of fixed marks
55,1,rescue station with lifeboat
55,2,rescue station with rocket
55,4,refuge for shipwrecked mariners
55,5,refuge for intertidal area walkers
55,6,lifeboat lying at a mooring
56,1,offshore safety zone
56,4,nature reserve
56,5,bird sanctuary
56,6,game preserve
56,7,seal sanctuary
56,8,degaussing range
56,9,military area
56,10,historic wreck area
56,12,navigational aid safety zone
56,14,minefield
56,18,swimming area
56,19,waiting area
56,20,research area
56,21,dredging area
56,22,fish sanctuary
56,23,ecological reserve
56,24,no wake area
56,25,swinging area
57,1,motorway
57,2,major road
57,3,minor road
57,4,track / path
57,5,major street
57,6,minor street
57,7,crossing
58,1,aeroplane
58,2,helicopter landing pad
59,2,gat
59,3,bank
59,4,deep
59,5,bay
59,6,trench
59,7,basin
59,8,mud flats
59,9,reef
59,10,ledge
59,11,canyon
59,12,narrows
59,13,shoal
59,14,knoll
59,15,ridge
59,16,seamount
59,17,pinnacle
59,18,abyssal plain
59,19,plateau
59,20,spur
59,21,shelf
59,22,trough
59,23,saddle
59,24,abyssal hills
59,25,apron
59,26,archipelagic apron
59,27,borderland
59,28,continental margin
59,29,continental rise
59,30,escarpment
59,31,fan
59,32,fracture zone
59,33,gap
59,34,guyot
59,35,hill
59,36,hole
59,37,levee
59,38,median valley
59,39,moat
59,40,mountains
59,41,peak
59,42,province
59,43,rise
59,44,seachannel
59,45,seamount chain
59,46,shelf edge
59,47,sill
59,48,slope
59,49,terrace
59,50,valley
59,51,canal
59,52,lake
59,53,river
60,1,breakwater
60,2,groyne (groin)
60,3,mole
60,4,pier ( jetty)
60,5,promenadepier
60,6,wharf (quay)
60,7,training wall
60,8,rip rap
60,9,revetment
60,10,sea wall
60,11,landing steps
60,12,ramp
60,13,slipway
60,14,fender
60,15,solid face wharf
60,16,open face wharf
61,1,port control
61,2,port entry and departure
61,3,International Port Traffic
61,4,berthing
61,5,dock
61,6,lock
61,7,flood barrage
61,8,bridge passage
61,9,dredging
62,1,danger
62,2,maritime obstruction
62,3,cable
62,4,military practice
62,5,distress
62,6,weather
62,7,storm
62,8,ice
62,9,time
62,10,tide
62,11,tidal stream
62,12,tide gauge
62,13,tide scale
62,14,diving
63,1,silo in general
63,2,tank in general
63,3,grain elevator
63,4,water tower
64,1,cutting
64,2,embankment
64,3,dune
64,4,hill
64,5,pingo
64,6,cliff
64,7,scree
65,1,visitor`s berth
65,2,nautical club
65,3,boat hoist
65,4,sailmaker
