"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","UOM_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_METHOD_CODE_1","PARM_1_1"
3855,EGM2008 geoid height,1027,EGM2008 geoid,9001,1,0,6499,9665,"egm08_25.gtx"
3886,Fao 1979 height,1028,Fao 1979,9001,1,0,6499,,
3900,N2000 height,1030,N2000,9001,1,0,6499,,
4440,NZVD2009 height,1039,New Zealand Vertical Datum 2009,9001,1,0,6499,,
4458,Dunedin-Bluff 1960 height,1040,Dunedin-Bluff 1960,9001,1,0,6499,,
5193,Incheon height,1049,Incheon,9001,1,0,6499,,
5195,Trieste height,1050,Trieste,9001,1,0,6499,,
5214,Genoa height,1051,Genoa,9001,1,0,6499,,
5237,SLVD height,1054,Sri Lanka Vertical Datum,9001,1,0,6499,,
5317,FVR09 height,1059,Faroe Islands Vertical Reference 2009,9001,1,0,6499,,
5336,Black Sea depth,5134,Black Sea,9001,1,0,6498,,
5597,FCSVR10 height,1079,Fehmarnbelt Vertical Reference 2010,9001,1,0,6499,,
5600,NGPF height,5195,Nivellement General de Polynesie Francaise,9001,1,0,6499,,
5601,IGN 1966 height,5196,IGN 1966,9001,1,0,6499,,
5602,Moorea SAU 1981 height,5197,Moorea SAU 1981,9001,1,0,6499,,
5603,Raiatea SAU 2001 height,5198,Raiatea SAU 2001,9001,1,0,6499,,
5604,Maupiti SAU 2001 height,5199,Maupiti SAU 2001,9001,1,0,6499,,
5605,Huahine SAU 2001 height,5200,Huahine SAU 2001,9001,1,0,6499,,
5606,Tahaa SAU 2001 height,5201,Tahaa SAU 2001,9001,1,0,6499,,
5607,Bora Bora SAU 2001 height,5202,Bora Bora SAU 2001,9001,1,0,6499,,
5608,IGLD 1955 height,5204,International Great Lakes Datum 1955,9001,1,0,6499,,
5609,IGLD 1985 height,5205,International Great Lakes Datum 1985,9001,1,0,6499,,
5610,HVRS71 height,5207,Croatian Vertical Reference System 1971,9001,1,0,6499,,
5611,Caspian height,5106,Caspian Sea,9001,1,0,6499,,
5612,Baltic depth,5105,Baltic Sea,9001,1,0,6498,,
5613,RH2000 height,5208,Rikets hojdsystem 2000,9001,1,0,6499,,
5614,"KOC WD depth (ft)",5187,KOC Well Datum,9002,1,0,6495,,
5615,RH00 height,5209,Rikets hojdsystem 1900,9001,1,0,6499,,
5616,IGN 1988 LS height,5210,IGN 1988 LS,9001,1,0,6499,,
5617,IGN 1988 MG height,5211,IGN 1988 MG,9001,1,0,6499,,
5618,IGN 1992 LD height,5212,IGN 1992 LD,9001,1,0,6499,,
5619,IGN 1988 SB height,5213,IGN 1988 SB,9001,1,0,6499,,
5620,IGN 1988 SM height,5214,IGN 1988 SM,9001,1,0,6499,,
5621,EVRF2007 height,5215,European Vertical Reference Frame 2007,9001,1,0,6499,,
5701,ODN height,5101,Ordnance Datum Newlyn,9001,1,0,6499,,
5702,NGVD29 height,5102,National Geodetic Vertical Datum 1929,9003,1,0,6497,,
5703,NAVD88 height,5103,North American Vertical Datum 1988,9001,1,0,6499,9665,"g2012a_conus.gtx,g2012a_alaska.gtx,g2012a_guam.gtx,g2012a_hawaii.gtx,g2012a_puertorico.gtx,g2012a_samoa.gtx"
5704,Yellow Sea,5104,Yellow Sea 1956,9001,1,1,6499,,
5705,Baltic height,5105,Baltic Sea,9001,1,0,6499,,
5706,Caspian depth,5106,Caspian Sea,9001,1,0,6498,,
5709,NAP height,5109,Normaal Amsterdams Peil,9001,1,0,6499,,
5710,Ostend height,5110,Ostend,9001,1,0,6499,,
5711,AHD height,5111,Australian Height Datum,9001,1,0,6499,,
5712,"AHD (Tasmania) height",5112,"Australian Height Datum (Tasmania)",9001,1,0,6499,,
5713,CGVD28 height,5114,Canadian Geodetic Vertical Datum of 1928,9001,1,0,6499,,
5714,MSL height,5100,Mean Sea Level,9001,1,0,6499,,
5715,MSL depth,5100,Mean Sea Level,9001,1,0,6498,,
5716,Piraeus height,5115,Piraeus Harbour 1986,9001,1,0,6499,,
5717,N60 height,5116,Helsinki 1960,9001,1,0,6499,,
5718,RH70 height,5117,Rikets hojdsystem 1970,9001,1,0,6499,,
5719,NGF Lallemand height,5118,Nivellement General de la France - Lallemand,9001,1,0,6499,,
5720,NGF-IGN69 height,5119,Nivellement General de la France - IGN69,9001,1,0,6499,,
5721,NGF-IGN78 height,5120,Nivellement General de la France - IGN78,9001,1,0,6499,,
5722,Maputo height,5121,Maputo,9001,1,0,6499,,
5723,JSLD69 height,5122,Japanese Standard Levelling Datum 1969,9001,1,0,6499,,
5724,PHD93 height,5123,PDO Height Datum 1993,9001,1,0,6499,,
5725,Fahud HD height,5124,Fahud Height Datum,9001,1,0,6499,,
5726,Ha Tien 1960 height,5125,Ha Tien 1960,9001,1,0,6499,,
5727,Hon Dau 1992 height,5126,Hon Dau 1992,9001,1,0,6499,,
5728,LN02 height,5127,Landesnivellement 1902,9001,1,0,6499,,
5729,LHN95 height,5128,Landeshohennetz 1995,9001,1,0,6499,,
5730,EVRF2000 height,5129,European Vertical Reference Frame 2000,9001,1,0,6499,,
5731,Malin Head height,5130,Malin Head,9001,1,0,6499,,
5732,Belfast height,5131,Belfast Lough,9001,1,0,6499,,
5733,DNN height,5132,Dansk Normal Nul,9001,1,0,6499,,
5734,AIOC95 depth,5133,AIOC 1995,9001,1,0,6498,,
5735,Black Sea height,5134,Black Sea,9001,1,0,6499,,
5736,Yellow Sea 1956 height,5104,Yellow Sea 1956,9001,1,0,6499,,
5737,Yellow Sea 1985 height,5137,Yellow Sea 1985,9001,1,0,6499,,
5738,HKPD height,5135,Hong Kong Principal Datum,9001,1,0,6499,,
5739,HKCD depth,5136,Hong Kong Chart Datum,9001,1,0,6498,,
