"id","lat","lon","obs_date"
388,37.941,140.946,"08/13/1997 05:37:29"
389,37.914,140.944,"08/13/1997 06:23:41"
390,37.929,140.923,"08/13/1997 08:02:24"
391,37.902,140.933,"08/13/1997 16:19:49"
392,37.904,140.925,"08/13/1997 17:58:32"
393,37.922,140.938,"08/13/1997 19:39:51"
394,37.902,140.933,"08/13/1997 20:19:46"
375,39.675,143.858,"07/21/1997 03:07:08"
376,39.696,143.867,"07/21/1997 04:46:11"
377,39.721,143.885,"07/21/1997 06:28:27"
378,39.712,143.826,"07/21/1997 18:51:38"
379,39.535,143.534,"07/22/1997 04:32:51"
380,39.426,143.369,"07/22/1997 18:38:03"
381,39.806,142.59,"07/26/1997 03:51:11"
382,39.821,142.608,"07/26/1997 07:58:23"
383,39.843,142.6,"07/26/1997 20:16:06"
384,39.325,142.207,"07/27/1997 16:03:04"
385,38.442,141.361,"07/30/1997 08:06:06"
386,38.532,141.234,"07/30/1997 18:56:24"
387,37.946,140.964,08/12/1997 19:50:49
337,33.229,152.672,"05/24/1997 19:57:08"
338,34.279,153.899,"05/25/1997 19:31:16"
339,35.016,154.007,"05/26/1997 03:19:17"
340,34.814,153.552,"05/26/1997 06:56:46"
341,35.104,153.696,"05/26/1997 15:36:53"
342,35.312,153.026,"05/27/1997 06:28:25"
368,39.532,146.041,07/08/1997 03:47:14
369,39.524,145.01,"07/18/1997 03:38:39"
370,39.55,144.9,"07/18/1997 07:35:49"
371,39.633,144.631,"07/19/1997 03:28:43"
372,39.634,144.642,"07/19/1997 05:11:38"
373,39.68,144.086,"07/20/1997 17:22:05"
374,39.574,144.062,"07/20/1997 19:02:15"
324,30.646,157.093,05/10/1997 20:00:54
325,30.921,156.606,05/11/1997 07:17:51
326,31.094,157.161,05/11/1997 16:41:46
327,31.426,156.919,05/12/1997 02:27:30
328,31.966,156.668,05/12/1997 14:57:40
329,32.318,155.668,"05/13/1997 03:57:33"
330,31.838,154.058,"05/15/1997 19:53:33"
331,31.58,152.687,"05/20/1997 02:40:38"
332,31.568,152.847,"05/21/1997 04:12:31"
333,31.473,152.164,"05/21/1997 07:05:53"
334,31.704,152.212,"05/21/1997 18:17:14"
335,31.973,152.132,"05/22/1997 03:57:36"
336,32.066,152.156,"05/22/1997 19:01:18"
311,29.488,160.451,"04/30/1997 06:25:46"
312,29.424,159.832,05/02/1997 15:01:35
313,29.433,159.617,05/03/1997 02:27:22
314,29.318,159.274,05/03/1997 03:59:23
315,29.638,159.552,05/04/1997 03:51:46
316,29.653,159.712,05/04/1997 06:29:45
317,29.736,159.145,05/04/1997 18:59:57
318,30.074,160.089,05/07/1997 03:24:25
319,30.064,158.397,05/07/1997 19:29:23
320,29.981,158.098,05/08/1997 03:09:48
321,30.06,158.091,05/08/1997 06:44:31
322,30.305,157.43,05/09/1997 18:45:29
323,30.351,157.395,05/10/1997 02:43:43
298,26.575,165.505,04/12/1997 15:22:22
299,26.606,165.323,04/12/1997 18:34:35
300,26.805,165.13,"04/13/1997 07:27:55"
301,26.564,164.109,"04/14/1997 14:52:40"
302,27.025,164.221,"04/15/1997 14:50:17"
303,27.317,164.039,"04/16/1997 03:49:15"
304,27.526,163.779,"04/16/1997 16:13:49"
305,27.794,163.638,"04/19/1997 15:44:52"
306,27.43,163.276,"04/22/1997 02:39:03"
307,27.523,162.162,"04/23/1997 19:39:20"
308,28.54,161.342,"04/27/1997 03:29:50"
309,28.601,160.868,"04/27/1997 19:48:51"
310,29.244,160.212,"04/29/1997 19:10:08"
285,25.344,167.274,04/03/1997 18:35:22
286,25.497,167.098,04/04/1997 05:49:34
287,25.487,167.014,04/04/1997 15:01:35
288,25.508,166.865,04/05/1997 02:26:48
289,25.382,166.489,04/05/1997 14:52:18
290,25.841,166.609,04/07/1997 03:43:39
291,25.829,166.608,04/07/1997 06:24:11
292,25.83,166.605,04/07/1997 08:01:40
293,26.029,166.164,04/08/1997 20:06:04
294,26.072,166.198,04/09/1997 07:17:36
295,26.081,166.026,04/09/1997 15:54:08
296,26.079,165.708,04/10/1997 19:17:04
297,26.228,165.794,04/11/1997 03:03:15
272,24.349,170.157,"03/27/1997 16:33:03"
273,24.356,170.248,"03/27/1997 19:29:13"
274,24.358,169.812,"03/28/1997 06:43:15"
275,24.398,169.624,"03/28/1997 14:42:21"
276,24.439,169.581,"03/28/1997 16:25:44"
277,24.464,169.211,"03/29/1997 18:45:21"
278,24.257,169.292,"03/29/1997 20:20:14"
279,24.461,168.705,"03/30/1997 20:02:20"
280,24.583,168.525,"03/31/1997 03:21:49"
281,25.224,168.058,04/01/1997 15:40:35
282,25.323,167.836,04/02/1997 02:58:15
283,25.308,167.838,04/02/1997 08:14:27
284,25.308,167.627,04/02/1997 15:33:20
259,23.484,172.896,"03/21/1997 03:29:26"
260,23.48,172.939,"03/21/1997 07:32:34"
261,23.494,172.769,"03/21/1997 14:23:48"
262,23.445,172.767,"03/21/1997 16:00:39"
263,23.497,172.678,"03/21/1997 18:22:08"
264,23.457,172.692,"03/21/1997 19:59:23"
265,23.429,172.349,"03/22/1997 05:35:06"
266,23.429,172.371,"03/22/1997 07:09:50"
267,23.764,172.317,"03/22/1997 19:44:11"
268,24.013,171.489,"03/24/1997 08:05:41"
269,24.01,171.582,"03/24/1997 15:26:34"
270,24.134,171.417,"03/25/1997 07:46:31"
271,24.17,171.317,"03/25/1997 15:17:32"
246,23.464,175.05,"03/13/1997 07:13:21"
247,23.562,174.865,"03/13/1997 15:52:31"
248,23.456,174.868,"03/13/1997 17:55:07"
249,23.463,174.874,"03/13/1997 19:39:42"
250,23.256,174.572,"03/14/1997 02:59:01"
251,23.564,174.651,"03/14/1997 15:41:38"
245,23.498,175.031,"03/13/1997 03:15:58"
102,25.671,-137.485,"10/31/1996 16:21:59"
103,25.719,-137.884,11/01/1996 16:00:00
104,25.694,-138.365,11/02/1996 17:17:11
105,25.643,-138.776,11/03/1996 15:18:14
106,25.638,-138.789,11/03/1996 16:54:33
107,25.662,-138.974,11/04/1996 02:28:05
108,25.421,-138.794,11/05/1996 03:52:50
109,25.561,-139.579,11/05/1996 17:51:46
110,25.563,-140.274,11/07/1996 15:26:50
111,25.528,-140.267,11/07/1996 17:06:55
112,25.548,-140.815,11/09/1996 16:24:30
113,25.593,-141.048,11/10/1996 03:36:42
114,25.615,-141.252,11/10/1996 17:45:21
89,25.65,-135.568,"10/25/1996 15:15:15"
90,25.643,-135.579,"10/25/1996 16:53:06"
91,25.618,-135.77,"10/26/1996 02:28:26"
92,25.643,-135.633,"10/26/1996 04:04:04"
93,25.649,-135.865,"10/26/1996 16:30:03"
94,25.682,-135.856,"10/27/1996 03:40:38"
95,25.769,-136.848,"10/27/1996 16:12:53"
96,25.661,-136.189,"10/27/1996 17:48:55"
97,25.777,-136.543,"10/28/1996 15:47:56"
98,25.804,-136.654,"10/29/1996 02:58:02"
99,25.782,-136.896,"10/29/1996 15:27:31"
100,25.742,-137.339,"10/31/1996 02:17:44"
101,25.747,-137.569,"10/31/1996 14:44:13"
76,25.352,-132.356,"10/16/1996 15:10:43"
77,25.365,-132.815,"10/17/1996 14:47:32"
78,25.342,-132.846,"10/17/1996 16:23:56"
79,25.392,-133.153,"10/18/1996 16:08:17"
80,25.376,-133.889,"10/20/1996 17:00:37"
81,25.418,-134.033,"10/21/1996 02:30:42"
82,25.398,-134.232,"10/21/1996 14:59:47"
83,25.374,-134.241,"10/21/1996 16:37:45"
84,25.439,-134.545,"10/22/1996 16:19:21"
85,25.555,-134.964,"10/23/1996 15:56:27"
86,25.684,-135.241,"10/24/1996 15:31:29"
87,25.699,-135.264,"10/24/1996 17:13:00"
88,25.679,-135.482,"10/25/1996 04:32:06"
63,24.844,-128.285,10/05/1996 15:46:32
64,24.995,-128.834,10/06/1996 17:06:29
